Pizza;;
Végétarienne;Tomates fraîches, tapenade d'olives, tomates séchées, oignons;9
Jambon Mozzarella;Blancs de volaille, base mozzarella, parmesan, tomates fraîches;10
Trois Fromages;Mozzarella, chèvre, gorgonzola, tomates fraîches, sauce tomate;10
Regina;Jambon cuit, champignons de Paris frais, mozzarella, sauce tomates;11
Margarita;Fromage mozzarella, sauce tomates, olives, origan;12
Vésuvio;Chorizo, poivrons frais, oignons rouges, œuf, mozzarella, sauce tomates;11
Merguez;Merguez de bœuf et moutons, oignons rouges, dés de tomates, sauces tomates, mozzarella;11
Dessert;;
Café gourmand;Café, décaféiné ou thé, Gauffre ou moelleux au chocolat, sauce caramel;5
Moelleux au chocolat;Moelleux au chocolat, amandes grillées, tout juste sortie du four;7
Crousti poire caramel;Mini-pizza cuite à la minute, crème d'amandes, poires caramélisées;7
Mousse au chocolat;Du chocolat noir fondant allégé aux blancs d'œufs;6,5
Glaces;;
Coupe Antillaise;Rhum-raisin (3boules), rhum (3cl);3
Colonel Italien;Citron (3boules), Grappa Plave (3cl);3,2
Fresca coulis de framboise;Sorbets : Citron, Framboise et fruit de la passion avec du coulis de framboise;4,5
